Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.475164049,0.983900189,135.848695,109.0452852,0.966088057,140.2443357,122.1854518,0.998295844,143.3702379,94.81562354,0.554030657,1.458614411,166.1065758,0.989372015,126.7802576,77.81837644,0.807428241,65.10892756,159.2978991,0.299112976,74.60547363,87.58781747,0.650621295,74.77250727,91.85785834,0.116401613,3.4790321,168.160405,0.419943482,15.54875406,172.1941323,0.346143812,6.777330034,30.93902397,0.102971017,8.501706546,96.9145014,0.090318322,21.03453294,93.99672528,0.058185399,3.802071904,176.3327579,0.044109851,59.54895858,59.04029265,0.2772834,14.81485088,164.8145629,0.373582661,9.15721117,30.1712459
1,0.468038873,0.974149644,134.9043676,108.9726465,0.987341642,140.9796958,121.4313163,0.998986125,144.1802483,94.79211776,0.543825507,0.078892363,164.2366963,0.981732965,127.1056687,79.67603972,0.820590794,61.65318864,160.5982878,0.526053727,72.83533523,86.40379945,0.727268338,73.30201262,90.42171407,0.075027555,1.449889851,175.6504808,0.575213909,9.709425413,28.33138874,0.317700028,6.049614191,28.32959655,0.105954707,46.58734078,139.4638416,0.041067481,40.76406872,141.2130711,0.029766411,15.43635031,29.41548284,0.037733436,58.48399949,57.58104493,0.156166792,5.382270575,25.39189904,0.058081776,4.709729446,28.31605756
2,0.477300751,0.990187764,135.8564855,108.8899618,0.955838323,138.9719028,122.0614735,0.996507645,142.8171573,94.89607717,0.775225401,-2.222883436,165.1116768,0.995320916,128.3192152,78.97797431,0.825893879,84.45003438,89.95546339,0.526933551,57.40355683,60.03161332,0.626033902,76.49724344,94.43180156,0.116650969,6.53409084,173.7962313,0.659870982,10.20692975,27.55874615,0.28225857,9.932749316,28.72424484,0.077702492,7.154440433,101.315604,0.066814154,34.02052976,137.4802371,0.017607003,8.239049638,176.1607561,0.028282523,62.99076228,64.55608468,0.097191632,11.1823767,27.01813163,0.075793058,15.32671106,167.9423913
3,0.438977278,0.980413556,137.7493831,110.3214,0.959536672,140.9860843,118.032379,0.999239743,144.6138494,94.65065641,0.560095787,117.4230576,131.6288965,0.99539417,128.3405631,77.89397774,0.410019755,97.11528802,110.0864886,0.201150328,52.87699458,59.47984941,0.911870718,77.66544261,97.15569162,0.083537251,-0.206584383,171.3364642,0.859115601,11.49488737,26.38764533,0.139400572,80.87429775,105.4948282,0.049451679,66.88500946,149.8304609,0.044152617,54.23978694,143.2918081,0.052701592,52.50620562,207.7268892,0.032826334,47.30644312,207.8337381,0.096543789,137.6148711,123.6036375,0.087163568,62.23204881,112.2940806
4,0.488276373,0.976660132,138.1159171,109.9256179,0.960385859,141.2693728,120.6992358,0.998769641,144.4995757,94.53843097,0.821292162,3.47728334,164.9004418,0.991889119,129.5846013,79.15193898,0.509645104,91.20867592,106.2030128,0.380423427,90.61365554,83.73221218,0.918513536,78.17071922,96.68761216,0.07072112,56.99018805,54.37987672,0.748644471,9.035088281,25.55776837,0.344737887,6.459240098,27.5891159,0.063032568,45.1501663,131.9092711,0.049201131,-5.606266931,101.3731371,0.030191332,51.65234741,204.778402,0.017740279,45.88977218,206.8726592,0.119138092,7.170106885,22.98270351,0.299712479,58.52397638,109.3186373
5,0.481515741,0.977098584,138.6184262,110.8719569,0.969733238,140.8078159,121.5597568,0.998424351,144.8550152,95.02222564,0.458285332,128.0849256,132.4728489,0.994872391,128.601504,77.64596013,0.305199564,78.98231459,159.637599,0.287503511,76.52739374,99.36189382,0.840243936,73.78975743,91.95931843,0.089086533,59.25397209,55.76207841,0.782770634,9.910356805,26.35395941,0.278905213,14.67567396,174.6687246,0.048001617,157.5955471,227.430775,0.042228281,-1.683815945,101.6099748,0.018141747,49.11613779,203.1057126,0.012466013,41.19884324,209.352055,0.55851686,15.40898431,170.9139455,0.524289787,61.90502229,102.4269468
6,0.48288207,0.980041921,137.7848124,110.8617768,0.988511324,140.7022472,123.6603294,0.999513268,144.7018254,95.61808725,0.722935379,113.9392532,135.0496328,0.996434569,126.411529,78.51888021,0.564047933,58.85064933,162.6854859,0.411073118,72.17955705,96.28474661,0.923066437,79.47188817,92.74326282,0.045609176,60.6658486,56.45439538,0.641590595,95.77519678,104.7962995,0.238266885,10.01084993,172.0474407,0.044114053,37.94116302,136.5424201,0.045151442,50.4737974,114.1477694,0.032029092,52.53116831,206.5710099,0.020508379,56.15950033,61.74565728,0.326099932,10.52267429,27.95841746,0.230001688,10.4064789,30.02220125
7,0.431650107,0.984978616,138.676386,111.37955,0.95992434,140.2715965,120.8087791,0.998725772,144.9631442,95.87033542,0.692174196,118.1957733,135.6602587,0.994727969,125.7137197,80.31001287,0.212098956,88.63776846,96.07047587,0.251081973,84.37045856,98.93490071,0.830664575,74.94197317,96.98139776,0.159065068,-4.16549054,176.8876063,0.319827497,7.905934842,25.55848159,0.180151701,11.01012498,26.68906299,0.107533544,35.01786402,137.4380291,0.098896235,49.16483485,141.2242387,0.019982845,11.97793682,25.72757564,0.013110995,14.77911674,25.31845569,0.311125159,9.347944129,27.5714439,0.203982383,11.87874974,29.0397684
8,0.440113758,0.742866635,143.0717584,110.7411878,0.87359935,145.0936452,123.1693294,0.956389844,143.0172246,95.60188436,0.829350591,134.4307653,128.9320844,0.983893514,125.3855166,80.85051157,0.458789319,76.89162351,157.393907,0.347503573,100.7878153,87.73932487,0.937336564,75.92839273,94.6101187,0.078030497,8.808737004,177.5160444,0.209231675,10.40304844,172.3004448,0.295897961,9.664379791,174.839239,0.151984602,61.39833753,143.288053,0.074003428,55.82781045,145.265903,0.036727041,55.10883612,208.3126317,0.022510737,50.978946,209.1509149,0.359243184,10.16150771,27.1594223,0.124575377,7.039735487,177.142049
9,0.423579009,0.770439565,132.2217102,110.3229727,0.749963701,132.0172172,115.9752214,0.712294579,144.1451725,91.90968565,0.971728563,139.2648594,119.3623327,0.957277894,126.3010592,81.16732746,0.535453081,80.18132852,161.0498108,0.362731278,85.57342263,110.3604869,0.95052433,76.14658922,93.33435744,0.154183894,55.5262282,72.08444279,0.378569245,12.27511707,28.46992407,0.189497054,10.38098282,26.99122435,0.142072529,58.70596934,147.3901763,0.06875062,53.9249644,147.181526,0.0599114,49.79291023,202.2016425,0.063858867,42.99812917,202.6177971,0.098925769,14.99070833,27.43834001,0.034660786,9.617699708,27.78822005
10,0.345621532,0.561264873,131.90971,107.1810505,0.247736603,10.53994778,187.7184769,0.390671164,144.6751375,94.0139279,0.948993802,140.8482073,119.3946654,0.966242194,125.0395746,81.14399237,0.249624461,90.95605591,104.152256,0.232110202,116.5996728,81.96034254,0.944374502,77.61587079,97.63374395,0.166579098,-2.235714916,175.1762689,0.209271044,11.19324721,29.02904572,0.294575036,10.88906354,30.86172802,0.131359011,65.57320927,155.2215127,0.174228847,56.94324355,143.4359029,0.054853559,58.12892576,210.5715512,0.043232918,53.20436856,208.9469706,0.182340294,10.89343125,30.40099412,0.07810843,11.25229815,31.31686588
11,0.473327184,0.714161038,143.9673431,101.9673528,0.426150233,4.674715002,189.423182,0.969218135,145.1645282,93.82268746,0.88358438,142.0738969,120.3712522,0.984865069,128.1641478,81.50195556,0.607916951,75.77224636,78.48573073,0.172536701,97.63582265,86.76270141,0.882282138,73.16724456,92.88728445,0.180470109,126.7640547,100.3642054,0.675863028,16.50982536,28.14573824,0.508740604,11.47787144,31.03720447,0.139552712,29.42516617,134.5823336,0.155255347,57.16152539,122.6097627,0.041459918,39.28167184,139.0505886,0.020960391,-6.340000567,186.533069,0.358812064,14.81746907,31.00839527,0.324733317,14.38109132,31.71790877
12,0.505693015,0.913905501,145.3832124,111.5739725,0.857957006,148.029904,123.0365851,0.999079227,145.9157255,95.22924226,0.759674966,135.8891839,130.6284869,0.993774474,127.2278061,79.73328018,0.482333422,80.37647033,80.18168208,0.252045542,59.89962498,55.64153817,0.923767626,71.51851202,93.60366193,0.096999645,2.763592247,179.4508817,0.58187151,17.09801682,28.62663126,0.789601147,13.16763469,30.78428576,0.188284487,27.16674652,137.363647,0.134993613,59.35200019,154.0479308,0.052775949,9.080793021,180.7998547,0.033892274,5.268361905,158.9794251,0.400573999,15.9565512,29.90331909,0.135250866,15.28481244,32.50032918
13,0.478022037,0.917425156,143.7984258,110.8778943,0.958985209,145.9015342,122.9897565,0.999705672,147.8144751,96.78411019,0.35050267,117.7048099,134.2729669,0.996381879,128.4712225,80.02933345,0.669941664,87.37084626,159.7173699,0.311533451,81.76819381,55.45899657,0.744370222,74.44226211,94.21931082,0.021496415,49.90939365,51.34730878,0.622724712,17.91886424,31.00693835,0.69490695,21.32334734,32.03789453,0.177407295,29.32117934,139.5987681,0.188581645,47.31016161,138.1588932,0.028753877,2.941823666,37.00445854,0.037191182,31.44911329,33.8928817,0.312232524,19.13886481,29.71509002,0.094234109,17.21679992,29.46926693
14,0.455620364,0.925171494,143.2774218,111.6238003,0.935419917,144.7695995,123.5419349,0.999540925,148.3341746,97.03093301,0.822300076,7.723795573,105.8924148,0.995873928,127.4243499,79.99690328,0.739821494,79.24000639,155.7481249,0.248010695,90.07107205,94.28481732,0.853364289,72.6214912,90.86464185,0.013512731,49.68806692,47.20717755,0.30638209,22.67073994,31.26036302,0.555535197,26.58167464,34.15516981,0.113736033,26.85470372,121.4972739,0.140669823,59.18141873,115.9063987,0.01730454,51.66128399,147.2326828,0.008157969,92.11559281,179.8582582,0.057234794,23.86823295,37.54357346,0.013510197,19.12258267,29.3552493
15,0.444105199,0.934170604,137.7314002,114.3050435,0.940109134,145.3621937,122.0679839,0.999753237,149.4737657,97.60642215,0.469246298,131.8755974,133.6620484,0.998708963,127.7201594,79.94817269,0.646223068,72.77629648,161.6578764,0.372922003,79.09174811,109.8388123,0.739850342,67.79219457,89.21009383,0.02654773,49.1740427,44.60641239,0.114070863,106.1785073,101.1057711,0.656782627,22.03006587,32.85206236,0.069532782,46.11299169,96.91537921,0.185800701,57.62233853,125.7937466,0.015902102,85.25951447,164.6964244,0.016179591,11.40054577,181.9444201,0.030732214,20.2840916,27.39153573,0.333256125,23.50455181,26.93091156
16,0.483417711,0.93605113,139.0129648,114.940626,0.958272517,145.9090078,122.0450389,0.999870658,149.0840307,97.57764952,0.440535873,133.4816831,134.7849612,0.998582959,127.5829164,80.41359434,0.447960943,90.88651393,121.1415418,0.264083147,91.01794144,82.66440631,0.881314993,80.28420285,93.32160483,0.055826485,65.6313885,56.52871655,0.850634933,43.79993148,173.9015927,0.715542078,34.82207909,178.7005013,0.358574927,63.45645214,159.7701116,0.11344108,68.44375439,147.638962,0.026355803,72.02671465,63.80337566,0.017650217,-4.185104465,205.4848675,0.088431358,23.72237492,52.64567972,0.064971983,30.19462976,29.39320844
17,0.489598215,0.879678369,142.9409771,113.0801586,0.917905688,144.6973632,122.9359663,0.99947536,149.0246811,98.11885534,0.140612751,128.0045451,134.6523023,0.997024655,126.6930253,80.03911127,0.920406342,107.6382183,115.5646262,0.562483132,101.1083862,89.68875575,0.808588088,82.13824516,89.96875244,0.216212481,22.06381732,24.86066001,0.524261832,93.61415906,130.3517576,0.39308238,84.40056619,100.152629,0.54617101,78.37762002,130.9514108,0.272588134,19.92810043,110.4898784,0.033749044,19.59597775,23.58122293,0.058255643,17.1265258,23.90754843,0.033780336,35.8289199,43.71579593,0.018894404,36.00662136,40.99933067
18,0.530223324,0.904896498,143.5449097,113.7927932,0.954225302,145.6470062,122.9955841,0.99977684,149.0986852,98.49087566,0.221502692,133.3798328,130.1045202,0.995205045,127.0026481,79.1789438,0.465290368,104.9553049,124.2203471,0.77042675,101.5843172,87.60243543,0.906625807,33.23361362,19.17556667,0.651803374,22.44488396,24.6338866,0.717256784,78.15423592,159.5461971,0.623030782,51.752759,50.54932555,0.388084203,82.71975095,127.5595691,0.22593084,35.57942099,32.46832573,0.04567939,76.96760275,54.88436695,0.079019547,77.15612442,59.34413648,0.025953382,30.12282925,26.1990505,0.039088905,52.27703652,193.5977489
19,0.481626672,0.860050917,143.5456412,112.5191899,0.890295625,144.281489,120.442562,0.999573171,148.8544958,98.77924811,0.188438028,138.8494241,128.3241041,0.996434927,131.317762,79.04856478,0.184487313,94.83546568,146.8253916,0.763644338,105.2650374,87.58085596,0.826531768,66.95447219,184.3437646,0.334508419,15.15957684,17.95084635,0.977448583,91.9814953,154.8456397,0.660026908,89.53693747,155.5482892,0.135218114,36.80437295,103.3891474,0.228124708,29.98742722,102.2272087,0.032082558,30.82850234,13.22528358,0.043367386,12.30273605,223.2138782,0.046542108,52.33759315,194.4662921,0.020878553,51.47332314,197.2524822
20,0.515759989,0.96371758,142.8614257,111.5876639,0.942227244,142.7374839,120.1888996,0.99820739,145.8911224,96.41549138,0.482077241,127.1714312,118.5916896,0.958288252,133.5263294,79.39487262,0.536612689,96.27370084,140.8745782,0.72844708,118.5160029,83.59320137,0.551917911,42.75000183,23.18193567,0.254414797,44.71617814,29.03009422,0.9289428,95.12463668,153.8466931,0.479990005,69.78422967,180.4175689,0.46053353,102.9326379,100.6213425,0.126018435,58.45431858,53.12036712,0.1068452,20.49211709,223.4561534,0.070164025,16.97670545,225.5450706,0.089865625,23.0155299,219.6939129,0.089650005,20.68344745,217.4491115
21,0.541556886,0.947016239,143.0873152,110.109019,0.920355201,145.6748522,122.9203486,0.999201477,145.742029,96.23963698,0.391040444,112.8209001,129.2831592,0.927599072,137.2515313,78.07274598,0.372608095,90.0270353,143.7473178,0.84060806,118.835562,80.68973841,0.895079374,80.43842901,178.7067923,0.439629108,77.0385346,178.9568216,0.997608066,98.18202101,150.2840566,0.850518703,93.55756476,151.1759714,0.183312446,56.10333275,71.43336454,0.160602987,65.93501287,74.48479927,0.082102507,16.97996371,-2.503541715,0.056844056,26.72874422,184.8556004,0.067155868,28.00389589,206.8816811,0.075185359,19.4451409,246.5207553
22,0.555191643,0.931890607,143.4745874,112.9476094,0.84867835,147.3092838,123.9630516,0.999029279,147.3179766,95.75067299,0.553882718,115.4029021,122.9319674,0.901800454,141.8067991,76.90308989,0.317565441,-6.789871578,44.73861409,0.727994502,116.189102,80.94964302,0.9731794,83.37858317,177.7397882,0.737445235,77.65276924,179.3283298,0.990933299,97.20386138,150.9940333,0.804438889,60.58978401,34.68258671,0.130993724,49.43222827,77.44884324,0.094147295,59.66607902,61.41426001,0.140334129,99.68611623,99.21222739,0.173966348,23.27834988,229.7430458,0.040320724,36.05009119,209.2302834,0.071657538,36.08985777,210.6561135
23,0.552258229,0.868516684,141.4818513,111.9633783,0.920895338,145.189497,122.448636,0.999565959,146.1718506,96.22451916,0.313298702,132.2856927,127.7125273,0.903537333,139.3708426,79.85274754,0.440535069,17.22383916,-18.17547249,0.909030795,120.8953652,79.75304307,0.979923904,77.36464063,176.9966741,0.733623564,80.25030967,177.76622,0.961812615,98.56203305,151.7435481,0.824633121,95.19187441,149.4347276,0.109439582,55.58586435,74.18957504,0.092980295,27.40361779,96.44447127,0.19242847,102.4656435,99.18655148,0.062845856,100.6957612,102.9977299,0.023894787,19.43498057,232.5185315,0.051427811,23.50662898,183.0079832
24,0.548471034,0.93817234,143.4533615,111.8010324,0.949798346,146.6580105,123.4096905,0.998547137,146.6558038,96.17542281,0.547121167,133.6921499,129.1004165,0.830085397,138.1972973,78.90507959,0.421555102,19.07853525,-16.35042379,0.812278152,117.7457499,81.75448414,0.955811024,82.91075974,177.0184974,0.643841982,80.8883427,179.2219686,0.922624767,98.56741573,150.0534854,0.837086558,66.10662453,38.77531626,0.137110472,57.18978596,74.63533132,0.047270536,25.21199697,101.2023667,0.096429139,17.99999756,-15.56149296,0.104111582,17.05775495,-16.3483207,0.032878816,17.0571606,231.6654963,0.049285054,28.29727916,15.26881681
25,0.611987289,0.937914491,140.7426874,111.7429751,0.957705259,143.5820825,120.4777475,0.998772562,146.024269,95.55606761,0.370237708,135.3233507,133.163843,0.892378807,138.8838781,75.36019429,0.218782812,24.4555725,-12.49239232,0.59673351,116.6484643,81.2632159,0.973947167,80.5491061,173.2580368,0.83890909,78.91166316,176.3294173,0.919282913,100.9087091,147.5861838,0.863569856,66.83024393,38.33580217,0.188349903,56.65374946,77.16572546,0.170661837,31.34880533,92.58818323,0.312876344,32.76673506,191.3422919,0.233596593,31.81985348,191.772272,0.160695881,30.59306055,17.59156645,0.769369185,22.44297594,17.42520336
26,0.531545308,0.961521387,143.5793271,108.023674,0.950244427,144.8860799,122.3735345,0.998310804,145.7938807,94.30775008,0.620524526,135.5419983,133.1955661,0.919786334,137.8555492,76.57109521,0.208220065,108.3164965,101.547943,0.645863175,113.9013245,86.93083841,0.34691599,78.5543888,175.2711454,0.379704565,77.38881696,174.0361901,0.486492246,97.51330124,141.9719491,0.82034409,67.75936817,39.46075097,0.174128026,53.96125936,75.93979206,0.259483159,29.28316228,83.64104196,0.435297966,35.10665074,188.9467024,0.623598039,36.08049143,190.3910151,0.096049845,30.38012787,17.05838893,0.109785587,20.45787187,15.87712625
27,0.597402147,0.913111508,143.795134,109.7712454,0.946851254,145.629767,123.0996167,0.997241735,145.2957363,95.79325891,0.771338224,136.5488574,133.3774067,0.942823291,138.6663277,79.39606742,0.369754195,2.00280274,57.6923377,0.934839845,116.9167691,84.2858902,0.965486169,77.91694098,171.0264513,0.516906619,74.1848873,174.256447,0.887512863,64.48732298,38.63094716,0.742795587,66.8637165,39.06157952,0.184476823,51.92098744,87.6240271,0.188877493,41.49384193,90.55401939,0.319652498,95.78594994,93.53257159,0.380538881,39.33794305,192.7538331,0.025406271,33.18649235,196.9969667,0.068223238,31.13707963,23.6087459
28,0.53633568,0.848334789,141.1140859,111.4945308,0.633214355,144.4983687,122.738825,0.998551607,144.6085581,95.45020629,0.742651045,130.7918812,131.8154431,0.936584353,138.9510548,79.53482219,0.304944783,-1.198061063,59.00970954,0.851292968,114.0306672,82.66252877,0.847296596,73.02520409,173.1658913,0.233735085,75.45961835,171.8011665,0.914747834,96.17144829,148.6468696,0.882500887,103.1742548,70.36828964,0.309770018,83.26058491,127.7104425,0.154061884,73.40079661,95.29068888,0.187719584,18.38116173,-23.34684641,0.161046803,39.21507113,66.29781621,0.039827108,73.88272594,177.5429883,0.071426868,36.07148779,194.2620796
29,0.56836983,0.9703933,139.5750795,111.3620182,0.777339518,141.3639201,120.9495089,0.989050746,147.234158,96.76299401,0.563919902,137.0043427,126.2015132,0.954817176,136.1120011,79.93577364,0.399957925,109.3502507,123.3803327,0.929410815,123.7514508,85.36689977,0.362744212,74.88540326,53.85195386,0.371272236,77.64105293,57.70821142,0.659300685,102.1839766,74.00396721,0.912437677,104.3853508,72.4789082,0.439550459,69.0709672,53.86441996,0.57956171,34.17376839,44.53794329,0.431932092,100.0062544,92.38988374,0.227125853,101.7536002,114.7130662,0.029516727,64.29635685,48.14240988,0.063956082,31.22693313,191.6099017
30,0.558908107,0.962629914,140.9158108,110.491573,0.96727556,143.2855293,120.1225397,0.998816967,147.8784942,94.3880696,0.341302335,119.4047114,120.2553936,0.961333394,137.4881496,77.4976226,0.462908834,104.7875458,120.2013596,0.852865696,116.2935369,77.91606927,0.409603238,78.27117958,52.06944079,0.578501523,63.83953652,52.63686505,0.792567372,93.15793003,135.9439129,0.897877753,106.6650817,80.2438846,0.246230453,84.77187329,77.35422275,0.361320138,74.95313475,95.69674869,0.305006027,94.9460879,69.32561105,0.186514765,93.30273194,65.80019604,0.059615552,101.2903487,78.11979411,0.117068291,67.27487857,53.28413945
31,0.576591969,0.947680652,140.6214278,111.5769595,0.90124774,142.1062295,121.4833265,0.996858299,145.2948341,95.35979196,0.412777215,118.7250312,121.3628106,0.95239079,138.62579,77.03435891,0.69580096,106.3178595,120.6678298,0.88459754,119.4938334,76.96224446,0.455136925,81.8398023,53.31653304,0.517773867,65.11666325,48.45095974,0.856922388,83.86438339,149.6739915,0.899211764,102.150437,79.90028334,0.281165957,103.2252531,112.1867929,0.34326148,48.28155784,73.52235487,0.239152014,19.0419233,-22.20574806,0.162707299,15.72641742,-19.06387005,0.046424985,69.31315714,178.1222447,0.208953589,66.32778363,49.62148145
32,0.598959108,0.966892838,141.4541515,110.2797407,0.980780363,144.5331519,123.1966024,0.999232769,144.9857112,95.56032255,0.328253448,136.9820195,129.2081797,0.880525112,139.1005384,79.56453359,0.57017529,-1.680644746,57.03032342,0.883699656,113.6541725,80.96301742,0.499890298,70.08239822,168.993275,0.674040258,64.1146382,54.0191338,0.765697479,90.31295719,146.6648013,0.884769976,103.3328457,79.55153714,0.439818114,84.59091663,56.76565792,0.465601504,62.7172943,69.99150232,0.337673962,95.46792705,71.02136733,0.295455992,95.01728796,71.17092404,0.074460447,57.37674099,40.82548182,0.135337323,59.14479459,38.9297192
33,0.567468573,0.976090968,136.8648077,111.2137538,0.976770997,143.2287765,121.1372503,0.999558806,145.064458,95.93640274,0.213761002,136.0610272,130.5070688,0.942298889,138.9405577,78.86055517,0.677362502,93.88824272,133.1137592,0.776189566,110.4727489,81.30280265,0.246691912,72.16111087,47.10251712,0.356695056,20.47569323,246.140981,0.921163142,88.91845398,146.5474919,0.877211332,57.17114471,43.31631359,0.533743262,81.3499605,53.67166164,0.628314197,73.22195522,58.02996499,0.228113741,50.03412178,19.17025105,0.172082484,86.82284352,95.68522745,0.067010432,48.16454712,55.9715151,0.053907454,20.57243661,15.36621703
34,0.534386679,0.958374143,141.9354469,109.2112764,0.987575769,143.8492778,122.2905816,0.999693274,145.5532757,95.62704822,0.377339721,106.9129165,96.94512718,0.960076571,135.8773579,78.36790925,0.178119361,92.97851563,100.0681765,0.918375015,111.5262782,86.54476094,0.311176181,72.45831626,48.28446254,0.253923953,13.67166774,249.8755706,0.679772019,92.00364778,141.8665023,0.942851782,61.86970876,43.02598437,0.386371851,69.51775978,44.17481688,0.792443752,70.4394958,55.88325262,0.099610329,13.75998051,-23.10869653,0.14851737,13.91240076,-21.21351454,0.039399862,22.6179312,14.83917808,0.050952584,23.18806509,13.87052805
35,0.527602159,0.969701529,140.8903422,110.2767781,0.989152372,145.0873176,121.0316328,0.999026716,145.0673596,94.9139991,0.288555652,138.184179,131.3704183,0.959020853,134.8479927,77.66122425,0.690314949,91.7018156,139.7167481,0.632626891,89.6873476,131.8657099,0.411818773,81.86387499,50.2905243,0.31247133,15.66600404,248.60621,0.972276092,93.79231771,146.9871157,0.721542776,57.92877921,43.05337322,0.287468195,64.93055556,40.87960118,0.461241663,69.05792198,57.61874805,0.118369997,15.30995192,-21.58755108,0.094544977,26.27199399,211.1959172,0.033463955,17.650529,236.4721588,0.027639985,270.2970652,59.44107341
36,0.554645759,0.960322618,141.1929912,110.4920241,0.978760481,142.2875093,122.9318454,0.996969402,147.2068362,93.66961952,0.613892019,130.5253443,127.7039931,0.968218207,137.2770609,77.16098285,0.373364985,-1.501358832,50.75245299,0.579020679,102.7758637,88.62468058,0.428677917,79.43375834,51.23964307,0.16250816,17.44191221,253.9652339,0.854747772,86.95432589,148.4376463,0.899938941,60.71143371,44.95997435,0.393994004,69.06484082,45.29101197,0.623186707,68.62975236,56.08698965,0.233864754,32.81542298,189.4388606,0.24702993,32.25590509,185.4757969,0.07774958,35.46379404,195.769424,0.03673175,20.63032019,189.977372
37,0.514158484,0.96156168,142.3517112,110.6616485,0.957666874,146.3966307,122.0909532,0.997464001,145.4998756,93.97062266,0.649670064,137.5509739,129.6103138,0.981077075,137.3180131,77.65414082,0.203102976,110.720986,129.3417652,0.743245602,116.5684008,85.96391961,0.269145131,70.31407274,45.75177025,0.283991516,18.06860992,248.8683335,0.676457763,85.95297748,146.6961586,0.759452701,97.18835343,76.04977421,0.515610754,69.97629916,48.42744177,0.290061951,68.86637065,55.11994284,0.194102079,57.614804,38.8741612,0.077435881,29.51892105,203.4722222,0.130557388,66.77785581,48.11931253,0.05009079,73.12153753,48.05130062
38,0.598736914,0.968552828,141.6878926,109.6205183,0.965519071,143.138667,123.0699175,0.999010742,145.2381057,94.14762309,0.214825928,133.7101328,134.7781582,0.958062291,136.7274793,77.99020755,0.627002358,89.62480371,138.9113218,0.912680149,109.2601777,82.01948492,0.602540612,79.54769063,53.3951701,0.727125943,67.05473139,53.39612106,0.972675562,85.75857936,149.7312685,0.841744423,107.1215302,79.82463327,0.439704418,55.98483463,9.466414053,0.500753045,44.11041984,45.6722371,0.146666646,33.00499924,193.5213064,0.087592155,28.1610115,193.3282859,0.090700358,64.26513977,47.0963054,0.123371005,71.58382954,55.79160693
39,0.569975856,0.945379496,141.6163755,111.1339098,0.967003584,143.8395853,122.6430097,0.998567462,144.3431672,95.16023672,0.172857523,136.8071649,128.6830914,0.986372113,133.5505057,77.34844384,0.406112552,89.19064792,134.5740432,0.749822915,94.96574716,81.24455027,0.446388632,79.35265245,52.35606371,0.623945177,67.03657172,53.88712718,0.953758061,90.02306077,147.6145419,0.911542356,106.3286858,79.06003726,0.421861947,74.35777909,82.99609619,0.333054751,73.38192372,84.00329666,0.208825111,53.09140552,18.53568659,0.173439503,50.74670151,21.21530216,0.085291445,70.59316723,50.60555409,0.305366933,67.20052693,51.36312763
40,0.528471028,0.962869406,141.9263031,109.3879843,0.971188962,144.6704071,123.1226104,0.997767687,145.0586547,95.15316548,0.292277098,137.7368499,129.9489774,0.936620474,136.084021,78.63907908,0.488167524,94.18589312,128.5313524,0.699383497,113.3869041,82.74032459,0.17403686,79.145075,52.44494797,0.683185816,69.89808881,55.41343584,0.71753341,95.10146618,139.2933028,0.831163824,60.96830256,42.15716682,0.324163318,77.97857658,104.3584314,0.437769562,74.20828944,100.8476221,0.152080297,15.9233118,-21.61715275,0.129318386,54.50200189,21.3832319,0.032460958,65.03770312,49.74124142,0.154020399,67.22889723,49.51056663
41,0.585805484,0.942568064,141.4594184,110.4482434,0.983204007,143.7712381,122.1629579,0.997264445,144.6912429,95.18829003,0.188017011,123.5338517,113.5676474,0.975820601,135.1327077,74.35827286,0.912384748,-0.560402507,59.75993753,0.878746867,115.6937007,88.78077208,0.483048618,70.15211698,47.36526851,0.308480203,61.34920461,49.79643975,0.964295447,96.52861292,142.8354571,0.811812758,58.70545119,38.71415613,0.450291932,81.74827242,115.409571,0.580897093,65.68615403,57.07051366,0.202159733,18.3238786,-19.8937973,0.143800646,18.10039849,-16.55322052,0.048356056,273.7062559,60.89171373,0.087545007,18.62062071,190.3297636
42,0.511738981,0.942106485,140.7902232,110.8845754,0.977503061,143.0509836,122.5966199,0.996131659,143.6526729,95.81737428,0.246850967,136.4480069,129.9899418,0.937939644,132.1583738,77.79964985,0.693737805,-3.587004129,54.42968018,0.902611256,111.7711381,87.95341273,0.131792307,81.12210201,50.70647165,0.215134025,15.80926978,245.0541559,0.685956836,94.45421617,139.7774267,0.95041132,60.38382198,46.64767795,0.476591408,82.19274857,106.9449077,0.201729298,23.81270238,55.97566031,0.147650838,19.9396994,-13.11445715,0.153085023,20.849268,-13.65639752,0.017849535,133.9708421,131.4636855,0.022481203,64.13582753,45.67825375
